player_name,team_name,shot_zone_basic,games_played,shot_attempts,shots_made,shooting_percentage,player_photo,team_logo
Immanuel Quickley,Toronto Raptors,Above the Break 3,68,230,95,0.41304347826087,https://cdn.nba.com/headshots/nba/latest/1040x760/1630193.png,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg
Dario Saric,Golden State Warriors,In The Paint (Non-RA),64,80,33,0.4125,https://cdn.nba.com/headshots/nba/latest/1040x760/203967.png,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
Nic Claxton,Brooklyn Nets,In The Paint (Non-RA),71,165,68,0.412121212121212,https://cdn.nba.com/headshots/nba/latest/1040x760/1629651.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg
Kawhi Leonard,Los Angeles Clippers,Above the Break 3,68,267,110,0.411985018726592,https://cdn.nba.com/headshots/nba/latest/1040x760/202695.png,https://cdn.nba.com/logos/nba/1610612746/primary/L/logo.svg
Aaron Nesmith,Indiana Pacers,Above the Break 3,72,187,77,0.411764705882353,https://cdn.nba.com/headshots/nba/latest/1040x760/1630174.png,https://cdn.nba.com/logos/nba/1610612754/primary/L/logo.svg
Cameron Payne,Philadelphia 76ers,Restricted Area,78,51,21,0.411764705882353,https://cdn.nba.com/headshots/nba/latest/1040x760/1626166.png,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg
Isaac Okoro,Cleveland Cavaliers,Left Corner 3,69,51,21,0.411764705882353,https://cdn.nba.com/headshots/nba/latest/1040x760/1630171.png,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
Keyonte George,Utah Jazz,Left Corner 3,75,34,14,0.411764705882353,https://cdn.nba.com/headshots/nba/latest/1040x760/1641718.png,https://cdn.nba.com/logos/nba/1610612762/primary/L/logo.svg
Klay Thompson,Golden State Warriors,In The Paint (Non-RA),77,119,49,0.411764705882353,https://cdn.nba.com/headshots/nba/latest/1040x760/202691.png,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
Kyle Lowry,Miami Heat,In The Paint (Non-RA),60,34,14,0.411764705882353,https://cdn.nba.com/headshots/nba/latest/1040x760/200768.png,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg
